#{"t_start": 1681381771.0962954, "env_id": null}
r,l,t
0,27,2174.668419
0,2544,2178.273991
95,278,2179.824661
0,95,2179.911744
0,129,2180.028219
0,84,2180.10455
43,510,2180.568835
0,101,2180.660064
0,2611,2184.325721
0,2722,2189.404726
0,5268,2196.809962
0,3595,2202.714026
0,92,2202.79569
0,207,2202.983144
0,27730,2245.821754
0,208,2246.012477
0,640,2246.604711
0,140,2246.732789
0,1305,2249.257819
0,380,2249.611261
0,210,2249.803868
0,15847,2274.764311
0,101,2274.857726
0,801,2275.59847
0,715,2277.570622
0,395,2277.938347
0,2225,2281.258793
0,3044,2285.331098
0,49,2285.37526
0,2385,2290.206984
0,416,2290.596599
0,49,2290.64078
0,125,2290.755315
0,81,2290.830347
0,242,2291.052105
0,152,2291.190865
0,109,2291.298286
0,48,2291.341749
0,1044,2293.615409
0,159,2293.762153
0,245,2293.986461
0,78,2294.058619
0,324,2294.362474
0,1518,2297.099277
0,1006,2298.026082
0,1006,2300.270988
0,203,2300.457617
0,926,2301.311697
0,147,2301.445987
0,291,2303.0324
0,356,2303.36586
0,52,2303.414959
0,1174,2304.498356
0,836,2306.586278
0,247,2306.812459
0,421,2307.204318
0,165,2307.354662
0,52,2307.403571
0,4819,2314.48036
0,65,2315.864351
0,23822,2352.860853
0,520,2353.358661
0,4556,2361.521196
36,892,2362.33441
0,339,2362.641799
0,121,2362.751831
0,145,2362.885256
0,842,2365.001664
0,272,2365.249504
0,612,2365.809082
0,70,2365.873376
0,170,2366.027291
28,137,2366.153442
0,262,2367.702473
0,50,2367.748211
0,84,2367.826706
5,111,2367.928226
0,235,2368.141496
23,85,2368.219098
0,244,2368.441694
0,262,2368.683582
0,66,2368.744256
0,77,2368.814668
0,331,2369.115101
0,349,2369.431748
0,183,2370.866416
0,476,2371.300133
0,89,2371.38116
0,233,2371.592164
0,979,2372.484406
0,128,2372.605681
0,80,2373.96507
0,201,2374.152143
0,386,2374.503571
0,123,2374.614966
0,211,2374.812195
0,13616,2396.125059
0,104,2396.219742
0,72,2396.285504
0,574,2396.810455
0,982,2397.705165
0,107,2397.802258
0,94,2399.154549
0,869,2399.949302
0,272,2400.194757
0,438,2400.597124
0,89,2400.677986
0,151,2400.814262
0,54,2400.864058
89,92,2402.205419
0,850,2402.986121
0,349,2403.303444
0,62,2403.359353
0,2256,2406.769722
0,289,2407.032189
0,609,2408.833727
0,638,2409.418645
0,770,2410.121446
0,125,2410.23469
0,49,2410.279896
0,380,2411.871917
0,195,2412.05449
0,691,2412.678821
0,470,2413.109707
0,40,2413.147016
0,2345,2416.534951
0,123,2417.894512
0,2259,2421.217971
0,22667,2455.904001
0,157,2456.04568
0,5032,2463.152179
0,2215,2466.429808
0,431,2466.819864
0,7397,2478.786489
0,980,2480.986865
0,108,2481.091074
0,1350,2482.319207
0,7750,2494.458432
0,86,2494.535775
0,420,2494.912505
0,229,2495.117525
0,159,2496.554624
0,1672,2498.077154
0,3935,2504.298894
0,178,2504.45969
0,390,2506.131113
0,627,2506.70161
0,4669,2513.635457
0,169,2513.788051
44,88,2513.868064
0,366,2514.205517
0,1004,2516.472022
0,119,2516.58102
0,579,2517.112154
0,3630,2523.012753
390,409,2523.384906
0,636,2525.218729
0,236,2525.435027
0,1314,2526.636707
0,44,2526.677868
0,58,2526.729679
0,8902,2541.202893
0,70,2541.267223
0,151,2541.403481
0,70,2541.46771
0,93,2541.552436
0,3837,2547.573087
218,219,2547.771719
0,2174,2551.028483
0,1128,2552.054362
0,28766,2599.095319
0,336,2599.402978
0,578,2599.929883
0,261,2600.16487
0,67,2600.225994
0,348,2600.545191
0,338,2600.849764
0,827,2602.91968
0,280,2603.173486
0,1179,2605.550135
0,44,2605.59213
0,1115,2606.6033
0,667,2607.210303
0,627,2609.093768
0,88,2609.174123
0,255,2609.404599
63,140,2609.530474
0,129,2609.646626
18,102,2609.739152
0,1517,2612.421855
0,97,2612.509194
0,25280,2651.999975
0,422,2652.39823
0,418,2654.180464
0,3023,2658.365691
0,225,2658.576122
0,74,2658.645459
0,210,2658.848759
0,99,2658.93909
0,482,2660.688363
